,reactionId,compartment,r ; p,ratelaw
924,vRP9_28,Cytoplasm,cyt_cong_in__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS_ + cyt_prot__GRB2__SOS1_ ; cyt_cong_in__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS__GRB2__SOS1_,kRP9_28_1*cyt_cong_in__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS_*cyt_prot__GRB2__SOS1_
925,vRP9_29,Cytoplasm,cyt_cong_in__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS_ + cyt_prot__GRB2__SOS1_ ; cyt_cong_in__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS__GRB2__SOS1_,kRP9_29_1*cyt_cong_in__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS_*cyt_prot__GRB2__SOS1_
926,vRP10_1,Cytoplasm,cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1196_pY1222_pY1248_ERBB2__GRB2__SOS1_ ; cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1196_pY1222_pY1248_ERBB2_ + cyt_prot__GRB2__SOS1_,kRP10_1_1*cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1196_pY1222_pY1248_ERBB2__GRB2__SOS1_
927,vRP10_2,Cytoplasm,cyt_prot_in__p_EGF__EGFR__EGFRvIII__GRB2__SOS1_ ; cyt_prot_in__p_EGF__EGFR__EGFRvIII_ + cyt_prot__GRB2__SOS1_,kRP10_2_1*cyt_prot_in__p_EGF__EGFR__EGFRvIII__GRB2__SOS1_
928,vRP10_3,Cytoplasm,cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__GRB2__SOS1_ ; cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_ + cyt_prot__GRB2__SOS1_,kRP10_3_1*cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__GRB2__SOS1_
929,vRP10_4,Cytoplasm,cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__GRB2__SOS1_ ; cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_ + cyt_prot__GRB2__SOS1_,kRP10_4_1*cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__GRB2__SOS1_
930,vRP10_5,Cytoplasm,cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__ERBB3__GRB2__SOS1_ ; cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__ERBB3_ + cyt_prot__GRB2__SOS1_,kRP10_5_1*cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__ERBB3__GRB2__SOS1_
931,vRP10_6,Cytoplasm,cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__GRB2__SOS1_ ; cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3_ + cyt_prot__GRB2__SOS1_,kRP10_6_1*cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__GRB2__SOS1_
932,vRP10_7,Cytoplasm,cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_ ; cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_,kRP10_7_1*cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_
933,vRP10_8,Cytoplasm,cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_ ; cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_,kRP10_8_1*cyt_prot_in__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_
934,vRP10_9,Cytoplasm,cyt_prot_in__pY1196_pY1222_pY1248_ERBB2__NRG1__ERBB3__GRB2__SOS1_ ; cyt_prot_in_pY1196_pY1222_pY1248_ERBB2__NRG1_ERBB3_ + cyt_prot__GRB2__SOS1_,kRP10_9_1*cyt_prot_in__pY1196_pY1222_pY1248_ERBB2__NRG1__ERBB3__GRB2__SOS1_
935,vRP10_10,Cytoplasm,cyt_prot_in__p_NRG1__ERBB3__EGFRvIII__GRB2__SOS1_ ; cyt_prot_in__p_NRG1__ERBB3__EGFRvIII_ + cyt_prot__GRB2__SOS1_,kRP10_10_1*cyt_prot_in__p_NRG1__ERBB3__EGFRvIII__GRB2__SOS1_
936,vRP10_11,Cytoplasm,cyt_prot_in__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__GRB2__SOS1_ ; cyt_prot_in_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1_ERBB3_ + cyt_prot__GRB2__SOS1_,kRP10_11_1*cyt_prot_in__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__GRB2__SOS1_
937,vRP10_12,Cytoplasm,cyt_prot_in__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_ ; cyt_prot_in__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_,kRP10_12_1*cyt_prot_in__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_
938,vRP10_13,Cytoplasm,cyt_prot_in__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_ ; cyt_prot_in__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_,kRP10_13_1*cyt_prot_in__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_
939,vRP10_14,Cytoplasm,cyt_prot_in__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_ ; cyt_prot_in__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_,kRP10_14_1*cyt_prot_in__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_
940,vRP10_15,Cytoplasm,cyt_prot_in__p_NRG1__ERBB4__EGFRvIII__GRB2__SOS1_ ; cyt_prot_in__p_NRG1__ERBB4__EGFRvIII_ + cyt_prot__GRB2__SOS1_,kRP10_15_1*cyt_prot_in__p_NRG1__ERBB4__EGFRvIII__GRB2__SOS1_
941,vRP10_16,Cytoplasm,cyt_prot_in__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_ ; cyt_prot_in__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_,kRP10_16_1*cyt_prot_in__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_
942,vRP10_17,Cytoplasm,cyt_prot_in__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_ ; cyt_prot_in__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_,kRP10_17_1*cyt_prot_in__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_
943,vRP10_18,Cytoplasm,cyt_prot_in__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_ ; cyt_prot_in__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_,kRP10_18_1*cyt_prot_in__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_
944,vRP10_19,Cytoplasm,cyt_prot_in__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_ ; cyt_prot_in__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_,kRP10_19_1*cyt_prot_in__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_
945,vRP10_20,Cytoplasm,cyt_prot_in__HGF__pY1234_pY1235_pY1234_pY1235_MET__pY1234_pY1235_pY1234_pY1235_MET__GRB2__SOS1_ ; cyt_prot_in__HGF__pY1234_pY1235_pY1234_pY1235_MET__pY1234_pY1235_pY1234_pY1235_MET_ + cyt_prot__GRB2__SOS1_,kRP10_20_1*cyt_prot_in__HGF__pY1234_pY1235_pY1234_pY1235_MET__pY1234_pY1235_pY1234_pY1235_MET__GRB2__SOS1_
946,vRP10_21,Cytoplasm,cyt_prot_in__HGF__pY1234_pY1235_pY1234_pY1235_MET__HGF__pY1234_pY1235_pY1234_pY1235_MET__GRB2__SOS1_ ; cyt_prot_in__HGF__pY1234_pY1235_pY1234_pY1235_MET__HGF__pY1234_pY1235_pY1234_pY1235_MET_ + cyt_prot__GRB2__SOS1_,kRP10_21_1*cyt_prot_in__HGF__pY1234_pY1235_pY1234_pY1235_MET__HGF__pY1234_pY1235_pY1234_pY1235_MET__GRB2__SOS1_
947,vRP10_22,Cytoplasm,cyt_cong_in__PDGFB__PGFRB__PDGFB__PGFRB__GRB2__SOS1_ ; cyt_cong_in__PDGFB__PGFRB__PDGFB__PGFRB_ + cyt_prot__GRB2__SOS1_,kRP10_22_1*cyt_cong_in__PDGFB__PGFRB__PDGFB__PGFRB__GRB2__SOS1_
948,vRP10_23,Cytoplasm,cyt_cong_in__PDGFB__PGFRB__PGFRB__GRB2__SOS1_ ; cyt_cong_in__PDGFB__PGFRB__PGFRB_ + cyt_prot__GRB2__SOS1_,kRP10_23_1*cyt_cong_in__PDGFB__PGFRB__PGFRB__GRB2__SOS1_
949,vRP10_24,Cytoplasm,cyt_cong_in__FGF__FGFR__FGF__FGFR__GRB2__SOS1_ ; cyt_cong_in__FGF__FGFR__FGF__FGFR_ + cyt_prot__GRB2__SOS1_,kRP10_24_1*cyt_cong_in__FGF__FGFR__FGF__FGFR__GRB2__SOS1_
950,vRP10_25,Cytoplasm,cyt_cong_in__FGF__FGFR__FGFR__GRB2__SOS1_ ; cyt_cong_in__FGF__FGFR__FGFR_ + cyt_prot__GRB2__SOS1_,kRP10_25_1*cyt_cong_in__FGF__FGFR__FGFR__GRB2__SOS1_
951,vRP10_26,Cytoplasm,cyt_cong_in__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IRS__GRB2__SOS1_ ; cyt_cong_in__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IRS_ + cyt_prot__GRB2__SOS1_,kRP10_26_1*cyt_cong_in__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IRS__GRB2__SOS1_
952,vRP10_27,Cytoplasm,cyt_cong_in__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__IRS__GRB2__SOS1_ ; cyt_cong_in__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__IRS_ + cyt_prot__GRB2__SOS1_,kRP10_27_1*cyt_cong_in__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__IRS__GRB2__SOS1_
953,vRP10_28,Cytoplasm,cyt_cong_in__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS__GRB2__SOS1_ ; cyt_cong_in__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS_ + cyt_prot__GRB2__SOS1_,kRP10_28_1*cyt_cong_in__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS__GRB2__SOS1_
954,vRP10_29,Cytoplasm,cyt_cong_in__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS__GRB2__SOS1_ ; cyt_cong_in__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS_ + cyt_prot__GRB2__SOS1_,kRP10_29_1*cyt_cong_in__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS__GRB2__SOS1_
955,vRP11_1,Cytoplasm,cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1196_pY1222_pY1248_ERBB2_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1196_pY1222_pY1248_ERBB2__GRB2__SOS1_,kRP11_1_1*cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1196_pY1222_pY1248_ERBB2_*cyt_prot__GRB2__SOS1_
956,vRP11_2,Cytoplasm,cyt_prot__p_EGF__EGFR__EGFRvIII_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__p_EGF__EGFR__EGFRvIII__GRB2__SOS1_,kRP11_2_1*cyt_prot__p_EGF__EGFR__EGFRvIII_*cyt_prot__GRB2__SOS1_
957,vRP11_3,Cytoplasm,cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__GRB2__SOS1_,kRP11_3_1*cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_*cyt_prot__GRB2__SOS1_
958,vRP11_4,Cytoplasm,cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__GRB2__SOS1_,kRP11_4_1*cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_*cyt_prot__GRB2__SOS1_
959,vRP11_5,Cytoplasm,cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__ERBB3_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__ERBB3__GRB2__SOS1_,kRP11_5_1*cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__ERBB3_*cyt_prot__GRB2__SOS1_
960,vRP11_6,Cytoplasm,cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__GRB2__SOS1_,kRP11_6_1*cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3_*cyt_prot__GRB2__SOS1_
961,vRP11_7,Cytoplasm,cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_,kRP11_7_1*cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1056_pY1162_pY1284_ERBB4_*cyt_prot__GRB2__SOS1_
962,vRP11_8,Cytoplasm,cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_,kRP11_8_1*cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4_*cyt_prot__GRB2__SOS1_
963,vRP11_9,Cytoplasm,cyt_prot__pY1196_pY1222_pY1248_ERBB2__NRG1__ERBB3_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__pY1196_pY1222_pY1248_ERBB2__NRG1__ERBB3__GRB2__SOS1_,kRP11_9_1*cyt_prot__pY1196_pY1222_pY1248_ERBB2__NRG1__ERBB3_*cyt_prot__GRB2__SOS1_
964,vRP11_10,Cytoplasm,cyt_prot__p_NRG1__ERBB3__EGFRvIII_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__p_NRG1__ERBB3__EGFRvIII__GRB2__SOS1_,kRP11_10_1*cyt_prot__p_NRG1__ERBB3__EGFRvIII_*cyt_prot__GRB2__SOS1_
965,vRP11_11,Cytoplasm,cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__GRB2__SOS1_,kRP11_11_1*cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3_*cyt_prot__GRB2__SOS1_
966,vRP11_12,Cytoplasm,cyt_prot__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_,kRP11_12_1*cyt_prot__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4_*cyt_prot__GRB2__SOS1_
967,vRP11_13,Cytoplasm,cyt_prot__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_,kRP11_13_1*cyt_prot__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4_*cyt_prot__GRB2__SOS1_
968,vRP11_14,Cytoplasm,cyt_prot__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_,kRP11_14_1*cyt_prot__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4_*cyt_prot__GRB2__SOS1_
969,vRP11_15,Cytoplasm,cyt_prot__p_NRG1__ERBB4__EGFRvIII_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__p_NRG1__ERBB4__EGFRvIII__GRB2__SOS1_,kRP11_15_1*cyt_prot__p_NRG1__ERBB4__EGFRvIII_*cyt_prot__GRB2__SOS1_
970,vRP11_16,Cytoplasm,cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_,kRP11_16_1*cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4_*cyt_prot__GRB2__SOS1_
971,vRP11_17,Cytoplasm,cyt_prot__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4_ + cyt_prot__GRB2__SOS1_ ; cyt_prot__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__GRB2__SOS1_,kRP11_17_1*cyt_prot__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4_*cyt_prot__GRB2__SOS1_
