old	new
Apop_XIAP	cyt_prot_a__APAF_1__PCSK9_1__XIAP_
Smac_XIAP	cyt_prot__DBLOH_1__XIAP_
C3_Ub	cyt_cong__u_CASP3_
BAD	cyt_prot__BAD_1_
PUMA	cyt_prot__BBC3_1_
NOXA	cyt_prot__APR_1_
Bcl2c_BAD	cyt_cong__BCL2__BAD_
Bcl2c_PUMA	cyt_cong__BCL2__BBC3_1_
Bcl2c_NOXA	cyt_cong__BCL2__APR_1_
BIM	cyt_prot__B2L11_1_
BIM_Bax	cyt_prot__B2L11_1__BAX_1_
Bcl2c_BIM	cyt_cong__BCL2__B2L11_1_
ppERK_BIM	cyt_cong__p_p_MAPK__B2L11_1_
pBIM	cyt_prot__pS69_B2L11_1_
ppAKT_BAD	cyt_cong__p_p_AKT__BAD_
pBAD	cyt_prot__p_BAD_
ppERK_BAD	cyt_cong__p_p_MAPK__BAD_
E	exc_prot__EGF_1_
H	exc_prot__NRG1_1_
HGF	exc_prot__HGF_1_
P	exc_prot__PDGFB_1_
F	exc_cong__FGF_
I	exc_cong__IGF_
INS	exc_prot__INS_1_
E1	cyt_prot__EGFR_1_
pE1	cyt_prot__pT693_EGFR_1_
E2	cyt_prot__ERBB2_1_
pE2	cyt_prot__pT701_ERBB2_1_
E3	cyt_prot__ERBB3_1_
E4	cyt_prot__ERBB4_1_
pE4	cyt_prot__pT699_ERBB4_1_
Met	cyt_prot__MET_1_
Pr	cyt_cong__PGFRB_
Fr	cyt_cong__FGFR_
Ir	cyt_prot__IGF1R_1_
Isr	cyt_prot__INSR_1_
E1E1	cyt_prot__EGFR_1__EGFR_1_
E1E2	cyt_prot__EGFR_1__ERBB2_1_
E1E3	cyt_prot__EGFR_1__ERBB3_1_
E1E4	cyt_prot__EGFR_1__ERBB4_1_
E2E2	cyt_prot__ERBB2_1__ERBB2_1_
E2E3	cyt_prot__ERBB2_1__ERBB3_1_
E2E4	cyt_prot__ERBB2_1__ERBB4_1_
E3E4	cyt_prot__ERBB3_1__ERBB4_1_
E4E4	cyt_prot__ERBB4_1__ERBB4_1_
Met_Met	cyt_prot__MET_1__MET_1_
FrFr	cyt_cong__FGFR__FGFR_
IrIr	cyt_prot__IGF1R__IGF1R_
Isr_Isr	cyt_prot__INSR_1__INSR_1_
EE1	cyt_prot__EGF_1__EGFR_1_
HE3	cyt_prot__NRG1_1__ERBB3_1_
HE4	cyt_prot__NRG1_1__ERBB4_1_
HGF_Met	cyt_prot__HGF_1__MET_1_
PPr	cyt_cong__PDGFB_1__PGFRB_
FFr	cyt_cong__FGF__FGFR_
EE1E2	cyt_prot__EGF_1__EGFR_1__ERBB2_1_
EE1E1	cyt_prot__EGF_1__EGFR_1__EGFR_1_
EE1E3	cyt_prot__EGF_1__EGFR_1__ERBB3_1_
EE1E4	cyt_prot__EGF_1__EGFR_1__ERBB4_1_
E2HE3	cyt_prot__ERBB2_1__NRG1_1__ERBB3_1_
